etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
18     | #ˌadnˌinˈaː# | *#adnenˈa# | *#adnenˈa# | *#adninˈa# {GOLD: #aninˈa#}
19     | #ˌadˌoliˈaː# | *#adold͡ʒˈa# | *#aduld͡ʒˈa# | *#aduld͡ʒˈa# {GOLD: #adiˈa#}
20     | #ˌaddˌormˈiː# | *#adormˈi# | *#aduɾmjˈi# | *#adurmj̊# {GOLD: #adormˈi#}
21     | #ˌadplˌikˈaː# | *#adplekˈa# | *#adplekˈa# | *#adplekˈa# {GOLD: #aplekˈa#}
22     | #ˌadpˈoːne# | *#adpˈone# | *#adpˈune# | *#adpˈune# {GOLD: #apˈune#}
23     | #ˌadpˈost# | *#adpˈoj# | *#adpˈoj# | *#adpˈoj# {GOLD: #apˈoj#}
24     | #ˌadprˌehˈende# | *#adprjˈɛnde# | *#adp?0ˈende# | *#adp?1ˈinde# {GOLD: #aprˈinde#}
25     | #ˌadprˈope# | *#adprˈope# | *#adpɾo̯ˈape# | *#adpro̯ˈape# {GOLD: #apro̯ˈape#}
26     | #ˌaddˈuːke# | *#adˈut͡ʃe# | *#adˈut͡ʃe# | *#adˈut͡ʃe# {GOLD: #adˈut͡ʃe#}
27     | #ˌadˌumbrˈiː# | *#adumbrˈi# | *#adumb?0ˈi# | *#adumb?1j̍# {GOLD: #adumbrˈi#}
28     | #ˌadˌunkˈaː# | *#adunkˈa# | *#adunkˈa# | *#adunkˈa# {GOLD: #adɨnkˈa#}
29     | #ˌadˈunkum# | *#adˈunku# | *#adˈunku# | *#adˈunk# {GOLD: #adˈɨnk#}
30     | #ˈaːeːr# | *#ˈare# | *#ˈaɾe# | *#ˈare# {GOLD: #ˈajer#}
31     | #ˌae̯rˈaːmen# | *#ae̯rˈame# | *#ae̯ɾˈəme# | *#ae̯rˈəme# {GOLD: #arˈamə#}
32     | #ˌafflˈaː# | *#aflˈa# | *#aflˈa# | *#aflˈa# {GOLD: #aflˈa#}
33     | #ˌaɡɡˈestum# | *#ad͡ʒˈɛstu# | *#ad͡ʒˈestu# | *#ad͡ʒˈest# {GOLD: #ad͡ʒˈest#}
34     | #ˈaɡilem# | *#ˈad͡ʒele# | *#ˈad͡ʒeɾe# | *#ˈad͡ʒere# {GOLD: #ˈad͡ʒer#}
35     | #ˌaɡurˈaː# | *#aɡurˈa# | *#aɡuɾˈa# | *#aɡurˈa# {GOLD: #aɡurˈa#}
36     | #ˌaɡˈustum# | *#aɡˈustu# | *#aɡˈustu# | *#aɡˈust# {GOLD: #aɡˈust#}
37     | #ˌajektˈaː# | *#ɛjstˈa# | *#jejstˈa# | *#jejstˈa# {GOLD: #ajeptˈa#}
38     | #ˌajˈuːnum# | *#ɛˈunu# | *#jeˈunu# | *#jeˈun# {GOLD: #aʒˈun#}
39     | #ˌajuːnˈaː# | *#ɛunˈa# | *#jeunˈa# | *#jeunˈa# {GOLD: #aʒunˈa#}
40     | #ˈakiam# | *#ˈad͡za# | *#ˈad͡zə# | *#ˈazə# {GOLD: #ˈat͡sə#}
41     | #ˌakkˌaptiˈaː# | *#akapd͡ʒˈa# | *#akəpd͡ʒˈa# | *#akəpd͡ʒˈa# {GOLD: #akət͡sˈa#}
42     | #ˈakrum# | *#ˈapru# | *#ˈapɾu# | *#ˈaprw̍# {GOLD: #ˈakru#}
43     | #ˌɑksˈunɡiɑ# | *#ɑsˈund͡ʒɑ# | *#ɑsˈund͡ʒə# | *#ɑsˈund͡ʒə# {GOLD: #osˈɨnzə#}
44     | #ˈakum# | *#ˈaku# | *#ˈaku# | *#ˈak# {GOLD: #ˈak#}
45     | #ˈakwam# | *#ˈapa# | *#ˈapə# | *#ˈapə# {GOLD: #ˈapə#}
46     | #ˌakwˈaːrium# | *#apˈard͡ʒu# | *#apˈaɾd͡ʒu# | *#apˈarʒ# {GOLD: #apˈar#}
47     | #ˌakwaːtˈoːsum# | *#apatˈosu# | *#apətˈosu# | *#apətˈos# {GOLD: #apətˈos#}
48     | #ˈakwilam# | *#ˈat͡ʃela# | *#ˈat͡ʃeɾə# | *#ˈat͡ʃerə# {GOLD: #ˈat͡ʃerə#}
49     | #ˌakwˈoːsum# | *#akˈosu# | *#akˈosu# | *#akˈos# {GOLD: #apˈos#}
50     | #ˌalbˈastrum# | *#albˈastru# | *#albˈastɾu# | *#albˈastrw̍# {GOLD: #albˈastru#}
51     | #ˌalbˈiː# | *#albˈi# | *#albjˈi# | *#albj̊# {GOLD: #albˈi#}
52     | #ˌalbˈitiam# | *#albˈed͡za# | *#albe̯ˈad͡zə# | *#albˈazə# {GOLD: #albe̯ˈat͡sə#}
53     | #ˌalbˈoːrem# | *#albˈore# | *#albo̯ˈaɾe# | *#albo̯ˈare# {GOLD: #albo̯ˈare#}
54     | #ˈalbum# | *#ˈalbu# | *#ˈalbu# | *#ˈalb# {GOLD: #ˈalb#}
55     | #ˌallˌewˈaːtum# | *#alleˈatu# | *#ale̯ˈatu# | *#ale̯ˈat# {GOLD: #aluˈat#}
56     | #ˌaltˈaːrium# | *#altˈard͡ʒu# | *#altˈaɾd͡ʒu# | *#altˈarʒ# {GOLD: #altˈar#}
57     | #ˈalterum# | *#ˈalteru# | *#ˈalteɾu# | *#ˈalter# {GOLD: #ˈalt#}
58     | #ˌaltˈitiam# | *#altˈed͡za# | *#alte̯ˈad͡zə# | *#alte̯ˈazə# {GOLD: #altˈit͡sə#}
59     | #ˌalweˈaːrium# | *#albd͡ʒˈard͡ʒu# | *#albd͡ʒˈaɾd͡ʒu# | *#albd͡ʒˈarʒ# {GOLD: #albjˈer#}
60     | #ˌalwˈeolam# | *#aljˈola# | *#a?0o̯ˈaɾə# | *#a?1o̯ˈarə# {GOLD: #albio̯ˈarə#}
61     | #ˌalwˈiːnam# | *#alˈina# | *#a?0ˈinə# | *#a?1ˈinə# {GOLD: #albˈinə#}
62     | #ˌamˈaːrum# | *#amˈaru# | *#əmˈaɾu# | *#əmˈar# {GOLD: #amˈar#}
63     | #ˌamaːrˈitiam# | *#amarˈed͡za# | *#əməɾe̯ˈad͡zə# | *#əməre̯ˈazə# {GOLD: #aməre̯ˈat͡sə#}
64     | #ˌamendˈui# | *#amendwˈi# | *#əmendwjˈi# | *#əmindwj̊# {GOLD: #amɨndˈoj#}
65     | #ˌammˌattˈiː# | *#amatˈi# | *#əmət͡sˈi# | *#əmət͡sj̊# {GOLD: #amet͡sˈi#}
66     | #ˌammˌortˈiː# | *#amortˈi# | *#əmuɾt͡sˈi# | *#əmurt͡sj̊# {GOLD: #amort͡sˈi#}
67     | #ˌammˌutˈiː# | *#amutˈi# | *#əmut͡sˈi# | *#əmut͡sj̊# {GOLD: #amut͡sˈi#}
68     | #ˌappˌarˈaː# | *#aparˈa# | *#apəɾˈa# | *#apərˈa# {GOLD: #apərˈa#}
69     | #ˌappˌensˈaː# | *#apesˈa# | *#apesˈa# | *#apəsˈa# {GOLD: #apəsˈa#}
70     | #ˌaprˈiːkum# | *#aprˈiku# | *#ap?0ˈiku# | *#ap?1ˈik# {GOLD: #ˈapriɡ#}
71     | #ˌarˈaː# | *#arˈa# | *#aɾˈa# | *#arˈa# {GOLD: #arˈa#}
72     | #ˌaraːtˈoːrem# | *#aratˈore# | *#aɾəto̯ˈaɾe# | *#arəto̯ˈare# {GOLD: #arətˈor#}
73     | #ˌaraːtˈoːrium# | *#aratˈord͡ʒu# | *#aɾətˈoɾd͡ʒu# | *#arətˈorʒ# {GOLD: #arətˈor#}
74     | #ˌarˈaːtrum# | *#arˈatru# | *#aɾˈatɾu# | *#arˈatrw̍# {GOLD: #arˈat#}
75     | #ˌarˈaːtum# | *#arˈatu# | *#aɾˈatu# | *#arˈat# {GOLD: #arˈat#}
76     | #ˌaratˈuːram# | *#aratˈura# | *#aɾətˈuɾə# | *#arətˈurə# {GOLD: #arətˈurə#}
77     | #ˈarborem# | *#ˈarbore# | *#ˈaɾbuɾe# | *#ˈarbure# {GOLD: #ˈarbure#}
78     | #ˌarborˈeːtum# | *#arborˈetu# | *#aɾbuɾˈetu# | *#arburˈet# {GOLD: #arburˈet#}
79     | #ˈarde# | *#ˈarde# | *#ˈaɾde# | *#ˈarde# {GOLD: #ˈarde#}
80     | #ˌarɡˈentum# | *#ard͡ʒˈɛntu# | *#aɾd͡ʒˈentu# | *#ard͡ʒˈint# {GOLD: #ard͡ʒˈint#}
81     | #ˌarɡentˈaːrium# | *#ard͡ʒentˈard͡ʒu# | *#aɾd͡ʒentˈaɾd͡ʒu# | *#ard͡ʒintˈarʒ# {GOLD: #ard͡ʒintˈar#}
82     | #ˌarɡentˈoːsum# | *#ard͡ʒentˈosu# | *#aɾd͡ʒentˈosu# | *#ard͡ʒintˈos# {GOLD: #ard͡ʒintˈos#}
83     | #ˌarkˈaːrium# | *#arkˈard͡ʒu# | *#aɾkˈaɾd͡ʒu# | *#arkˈarʒ# {GOLD: #arkˈar#}
84     | #ˈarkum# | *#ˈarku# | *#ˈaɾku# | *#ˈark# {GOLD: #ˈark#}
85     | #ˌaːrsˈuːram# | *#asˈura# | *#asˈuɾə# | *#asˈurə# {GOLD: #arsˈurə#}
86     | #ˈaskla# | *#ˈaskla# | *#ˈaskʎe# | *#ˈaskje# {GOLD: #ˈaʃkje#}
87     | #bˌaptidiˈoːnem# | *#bapted͡ʒˈone# | *#bəpted͡ʒˈune# | *#bəpteʒˈune# {GOLD: #boteʒˈune#}
88     | #bˌaptid͡zˈaː# | *#bapted͡zˈa# | *#bəpted͡zˈa# | *#bəptezˈa# {GOLD: #botezˈa#}
89     | #bˌasˈilikam# | *#basˈeleka# | *#bəse̯ˈaɾekə# | *#bəsˈerekə# {GOLD: #bisˈerikə#}
90     | #bˌattuˈaːlia# | *#batˈald͡ʒa# | *#bətˈald͡ʒə# | *#bətˈald͡ʒə# {GOLD: #bətˈaje#}
91     | #brˈaːkae̯# | *#brˈakae̯# | *#bɾˈakəe̯# | *#brˈakəe̯# {GOLD: #brˈat͡ʃe#}
92     | #brˈoːtʰakum# | *#brˈotaku# | *#bɾo̯ˈatəku# | *#bro̯ˈatək# {GOLD: #bro̯ˈatek#}
93     | #dˌamnˈaː# | *#damnˈa# | *#dəmnˈa# | *#dɨmnˈa# {GOLD: #dəwnˈa#}
94     | #dˌeːbitˈoːrem# | *#deetˈore# | *#deto̯ˈaɾe# | *#deto̯ˈare# {GOLD: #datˈor#}
95     | #dˌeːraːmˈaː# | *#deramˈa# | *#deɾəmˈa# | *#derəmˈa# {GOLD: #dərɨmˈa#}
96     | #dˌeːsˌiːderˈaː# | *#desiderˈa# | *#desedeɾˈa# | *#desederˈa# {GOLD: #deʃiderˈa#}
97     | #diˈaːna# | *#d͡ʒˈana# | *#d͡ʒˈənə# | *#d͡ʒˈɨnə# {GOLD: #zˈɨnə#}
98     | #dˌiskˌarrikˈaː# | *#dskarrekˈa# | *#dskərrekˈa# | *#dskɨrəkˈa# {GOLD: #deskərkˈa#}
99     | #dˌolˈoːrem# | *#dolˈore# | *#duɾo̯ˈaɾe# | *#duro̯ˈare# {GOLD: #duro̯ˈare#}
100    | #dˌuplikˈaː# | *#duplekˈa# | *#duplekˈa# | *#duplekˈa# {GOLD: #duplekˈa#}
101    | #kˌɑbɑllˈɑːrem# | *#kɑɑllˈɑre# | *#kəɑlˈɑɾe# | *#kəɑlˈɑre# {GOLD: #kəlˈare#}
102    | #kˈae̯lum# | *#kˈae̯lu# | *#kˈae̯ɾu# | *#kˈae̯r# {GOLD: #t͡ʃˈer#}
103    | #kˌɑntikˈellum# | *#kɑntet͡ʃˈɛllu# | *#kəntet͡ʃˈelu# | *#kɨntet͡ʃˈel# {GOLD: #kɨntet͡ʃˈel#}
104    | #kˌɑpˈistrum# | *#kɑpˈestru# | *#kəpˈestɾu# | *#kəpˈəstrw̍# {GOLD: #kəpˈəstru#}
105    | #kˌɑpitˈiːnɑ# | *#kɑpetˈinɑ# | *#kəpet͡sˈinə# | *#kəpet͡sˈinə# {GOLD: #kəpət͡sˈɨnə#}
106    | #kˈɑwulɑm# | *#kˈɑulɑ# | *#kˈɑuɾə# | *#kˈɑurə# {GOLD: #ɡˈawrə#}
107    | #kˈeːpɑm# | *#t͡ʃˈepɑ# | *#t͡ʃe̯ˈapə# | *#t͡ʃe̯ˈapə# {GOLD: #t͡ʃe̯ˈapə#}
108    | #kˌeːrɑsiˈɑːrium# | *#t͡ʃerɑsd͡ʒˈɑrd͡ʒu# | *#t͡ʃeɾəsd͡ʒˈɑɾd͡ʒu# | *#t͡ʃerɨsd͡ʒˈɑrʒ# {GOLD: #t͡ʃireʃˈar#}
109    | #kˌeːrˈesiɑ# | *#t͡ʃerˈɛsd͡ʒɑ# | *#t͡ʃe?0e̯ˈasd͡ʒə# | *#t͡ʃe?1e̯ˈasd͡ʒə# {GOLD: #t͡ʃire̯ˈaʃə#}
110    | #kˌertˈɑː# | *#t͡ʃertˈɑ# | *#t͡ʃeɾtˈɑ# | *#t͡ʃertˈɑ# {GOLD: #t͡ʃertˈa#}
111    | #kˌikʰˈoriɑ# | *#t͡ʃekˈord͡ʒɑ# | *#t͡ʃeko̯ˈaɾd͡ʒə# | *#t͡ʃeko̯ˈard͡ʒə# {GOLD: #t͡ʃiko̯ˈare#}
112    | #kukˈuːtam# | *#kukˈuta# | *#kukˈutə# | *#kukˈutə# {GOLD: #kukˈutə#}
113    | #kˌoɡnˈɑːtum# | *#konnˈɑtu# | *#kunnˈɑtu# | *#kunˈɑt# {GOLD: #kumnˈat#}
114    | #kˌoktˈorium# | *#kostˈord͡ʒu# | *#kustˈoɾd͡ʒu# | *#kustˈorʒ# {GOLD: #kuptˈor#}
115    | #kˌomminikˈɑː# | *#komenekˈɑ# | *#kumenekˈɑ# | *#kuminekˈɑ# {GOLD: #kuminekˈa#}
116    | #kˌornˈuːtum# | *#kornˈutu# | *#kuɾnˈutu# | *#kurnˈut# {GOLD: #kornˈut#}
117    | #kˈorwum# | *#kˈoru# | *#kˈoɾu# | *#kˈor# {GOLD: #kˈorb#}
118    | #kˌottid͡zˈɑː# | *#koted͡zˈɑ# | *#kuted͡zˈɑ# | *#kutezˈɑ# {GOLD: #kutezˈa#}
119    | #krˈistɑm# | *#krˈestɑ# | *#kɾe̯ˈastə# | *#kre̯ˈastə# {GOLD: #kre̯ˈastə#}
120    | #kˌukˈuːtɑm# | *#kukˈutɑ# | *#kukˈutə# | *#kukˈutə# {GOLD: #kukˈutə#}
121    | #kˌurtiˈaː# | *#kurd͡ʒˈa# | *#kuɾd͡ʒˈa# | *#kurd͡ʒˈa# {GOLD: #krut͡sˈa#}
122    | #kˈodrum# | *#kˈodru# | *#kˈodɾu# | *#kˈodrw̍# {GOLD: #kˈodru#}
123    | #kwˈae̯re# | *#pˈae̯re# | *#pˈae̯ɾe# | *#pˈae̯re# {GOLD: #t͡ʃˈere#}
124    | #ekkuhˈik# | *#ekwˈi# | *#ekwjˈi# | *#ekwj̊# {GOLD: #at͡ʃˈi#}
125    | #ekkuhˈok# | *#ekwˈo# | *#ekwˈo# | *#ekwˈo# {GOLD: #akˈo#}
126    | #ekkeˈillum# | *#ekd͡ʒˈellu# | *#ekd͡ʒˈelu# | *#ekd͡ʒˈel# {GOLD: #at͡ʃˈel#}
127    | #ekkuˈistum# | *#et͡ʃˈestu# | *#et͡ʃˈestu# | *#et͡ʃˈest# {GOLD: #at͡ʃˈest#}
128    | #eksˈalbidum# | *#sˈalbedu# | *#sˈalbedu# | *#sˈalbəd# {GOLD: #sˈarbəd#}
129    | #ekskˌadˈeː# | *#skadˈe# | *#skədˈe# | *#skədˈe# {GOLD: #skəde̯ˈa#}
130    | #ekskˌambiˈaː# | *#skamd͡ʒˈa# | *#skəmd͡ʒˈa# | *#skɨmd͡ʒˈa# {GOLD: #skimbˈa#}
131    | #ekskˌappˈaː# | *#skapˈa# | *#skəpˈa# | *#skəpˈa# {GOLD: #skəpˈa#}
132    | #ekskˌarminˈaː# | *#skarmenˈa# | *#skəɾmenˈa# | *#skərmɨnˈa# {GOLD: #skərmənˈa#}
133    | #eksmˈulɡe# | *#smˈuld͡ʒe# | *#smˈuld͡ʒe# | *#smˈuld͡ʒe# {GOLD: #smˈuld͡ʒe#}
134    | #eksmˈultum# | *#smˈultu# | *#smˈultu# | *#smˈult# {GOLD: #smˈult#}
135    | #ekspellawˈaː# | *#spellaˈa# | *#spe̯ˈa# | *#spˈa# {GOLD: #spəlˈa#}
136    | #eːrˈikium# | *#erˈed͡zu# | *#eɾˈed͡zu# | *#erˈez# {GOLD: #arˈit͡ʃj#}
137    | #fˌabrikˈaː# | *#fawrekˈa# | *#fəwɾekˈa# | *#fəwrekˈa# {GOLD: #ferekˈa#}
138    | #fˈalkem# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# {GOLD: #fˈalt͡ʃe#}
139    | #fˈalkiːs# | *#fˈalt͡ʃi# | *#fˈalt͡ʃi# | *#fˈalt͡ʃj̊# {GOLD: #fˈəlt͡ʃj#}
140    | #fˈarmakum# | *#fˈarmaku# | *#fˈaɾməku# | *#fˈarmək# {GOLD: #fˈarmek#}
141    | #fˌebruˈaːrium# | *#fewrˈard͡ʒu# | *#fewɾˈaɾd͡ʒu# | *#fəwrˈarʒ# {GOLD: #fəwrˈar#}
142    | #flˈakula# | *#flˈakula# | *#flˈakuɾə# | *#flˈakurə# {GOLD: #flˈakərə#}
143    | #fˌortˈuːnam# | *#fortˈuna# | *#fuɾtˈunə# | *#furtˈunə# {GOLD: #furtˈunə#}
144    | #fˌossˈɑːtum# | *#fosˈɑtu# | *#fusˈɑtu# | *#fusˈɑt# {GOLD: #sˈat#}
145    | #frˈeːnum# | *#frˈenu# | *#fɾˈenu# | *#frˈin# {GOLD: #frˈɨnə#}
146    | #frˈiːɡe# | *#frˈid͡ʒe# | *#f?0ˈid͡ʒe# | *#f?1ˈid͡ʒe# {GOLD: #frˈid͡ʒe#}
147    | #ɡˌɑlliːnˈɑːkeum# | *#ɡɑllinˈɑd͡zu# | *#ɡəlenˈɑd͡zu# | *#ɡəlinˈɑz# {GOLD: #ɡəjnˈat͡s#}
148    | #ɡlˈɑndɑm# | *#ɡlˈɑndɑ# | *#ɡʎˈɑndə# | *#ɡjˈɑndə# {GOLD: #ɡˈində#}
149    | #ɡlˈɑndulɑm# | *#ɡlˈɑndulɑ# | *#ɡʎˈɑnduɾə# | *#ɡjˈɑndurə# {GOLD: #ɡˈindurə#}
150    | #ɡˈulɑm# | *#ɡˈulɑ# | *#ɡˈuɾə# | *#ɡˈurə# {GOLD: #ɡˈurə#}
151    | #ɡˈyːrum# | *#d͡ʒˈiru# | *#d͡ʒˈiɾu# | *#d͡ʒˈir# {GOLD: #ʒˈur#}
152    | #ˌinpˌerɡˈyːrum# | *#enperd͡ʒˈiru# | *#enpeɾd͡ʒˈiɾu# | *#inperd͡ʒˈir# {GOLD: #ɨmpreʒˈur#}
153    | #hˈae̯dum# | *#ˈae̯du# | *#ˈae̯du# | *#ˈae̯d# {GOLD: #jˈed#}
154    | #hˈominem# | *#ˈomne# | *#ˈomne# | *#ˈomne# {GOLD: #ˈom#}
155    | #hˌorrˈiː# | *#orrˈi# | *#urrjˈi# | *#urj̊# {GOLD: #urˈɨ#}
156    | #ˌimperˈɑːtum# | *#emperˈɑtu# | *#empeɾˈɑtu# | *#impərˈɑt# {GOLD: #ɨmpərˈat#}
157    | #ˌinˈɑltum# | *#enˈɑltu# | *#enˈɑltu# | *#inˈɑlt# {GOLD: #ɨnˈalt#}
158    | #ˌinˌɑltiˈɑː# | *#enɑld͡ʒˈɑ# | *#enəld͡ʒˈɑ# | *#inəld͡ʒˈɑ# {GOLD: #ɨnəlt͡sˈa#}
159    | #ˌinkˌɑrrikˈɑː# | *#enkɑrrekˈɑ# | *#enkərrekˈɑ# | *#inkɨrəkˈɑ# {GOLD: #ɨnkərkˈa#}
160    | #ˌinkˌonɡˌyːrˈɑː# | *#enkond͡ʒirˈɑ# | *#enkund͡ʒeɾˈɑ# | *#inkund͡ʒerˈɑ# {GOLD: #ɨnkunʒurˈa#}
161    | #ˌindireːktˈɑː# | *#enderestˈɑ# | *#endeɾestˈɑ# | *#inderestˈɑ# {GOLD: #ɨndreptˈa#}
162    | #ˌinfˌɑskiˈɑː# | *#ifɑsd͡ʒˈɑ# | *#jifəsd͡ʒˈɑ# | *#ifɨsd͡ʒˈɑ# {GOLD: #ɨnfəʃˈa#}
163    | #ˌinɡˌɑnnˈɑː# | *#enɡɑnnˈɑ# | *#enɡənnˈɑ# | *#inɡɨnˈɑ# {GOLD: #ɨnɡənˈa#}
164    | #ˌinwˌitiˈɑː# | *#ened͡ʒˈɑ# | *#ened͡ʒˈɑ# | *#ined͡ʒˈɑ# {GOLD: #ɨnvət͡sˈa#}
165    | #iˌuːdikˈɑːtɑm# | *#d͡ʒudekˈɑtɑ# | *#d͡ʒudekˈɑtə# | *#ʒudekˈɑtə# {GOLD: #ʒudekˈatə#}
166    | #iɡnˈaːrium# | *#ennˈard͡ʒu# | *#ennˈaɾd͡ʒu# | *#inˈarʒ# {GOLD: #amnˈar#}
167    | #manuˈaːrium# | *#manˈard͡ʒu# | *#mənˈaɾd͡ʒu# | *#mɨnˈarʒ# {GOLD: #mɨnˈer#}
168    | #mastikˈaː# | *#mastekˈa# | *#məstekˈa# | *#mɨstekˈa# {GOLD: #mestekˈa#}
169    | #mikstikˈaː# | *#mstekˈa# | *#mstekˈa# | *#mstekˈa# {GOLD: #mestekˈa#}
170    | #pˌɑːwˈoːnem# | *#pɑˈone# | *#pəˈune# | *#pəˈune# {GOLD: #pəˈun#}
171    | #pˈektinem# | *#pˈɛptene# | *#pje̯ˈaptene# | *#pjˈeptine# {GOLD: #pjˈepten#}
172    | #pˌekˈulium# | *#pekˈuld͡ʒu# | *#pekˈuld͡ʒu# | *#pəkˈulʒ# {GOLD: #pəkˈuj#}
173    | #pˈerɡulɑm# | *#pˈɛrɡulɑ# | *#pje̯ˈaɾɡuɾə# | *#pjˈarɡurə# {GOLD: #pˈɨrɡje#}
174    | #pˌistˈaːlia# | *#pstˈald͡ʒa# | *#pstˈald͡ʒə# | *#pstˈald͡ʒə# {GOLD: #pəstˈaje#}
175    | #pˈittulɑm# | *#pˈetulɑ# | *#pe̯ˈatuɾə# | *#pˈaturə# {GOLD: #pˈəturə#}
176    | #plˈɑːɡɑ# | *#plˈɑɡɑ# | *#plˈɑɡə# | *#plˈɑɡə# {GOLD: #plˈaɡə#}
177    | #plˈoːppus# | *#plˈopu# | *#plˈopu# | *#plˈop# {GOLD: #plˈop#}
178    | #prˈae̯dɑ# | *#prˈae̯dɑ# | *#pɾˈae̯də# | *#prˈae̯də# {GOLD: #prˈadə#}
179    | #prˌae̯dˈɑː# | *#prae̯dˈɑ# | *#pɾəe̯dˈɑ# | *#prəe̯dˈɑ# {GOLD: #prədˈa#}
180    | #prˈae̯byter# | *#prˈae̯etre# | *#pɾˈae̯etɾe# | *#prˈae̯etre# {GOLD: #prˈeot#}
181    | #prˌiːmɑwˈeːrɑm# | *#primɑˈerɑ# | *#pɾeməe̯ˈaɾə# | *#priməe̯ˈarə# {GOLD: #prˈiməvarə#}
182    | #pˈunɡɑm# | *#pˈunɡɑ# | *#pˈunɡə# | *#pˈunɡə# {GOLD: #pˈunɡə#}
183    | #sˌɑɡˈittɑm# | *#sɑd͡ʒˈetɑ# | *#səd͡ʒe̯ˈatə# | *#səd͡ʒe̯ˈatə# {GOLD: #səd͡ʒe̯ˈatə#}
184    | #sˌɑɡittˈɑː# | *#sɑd͡ʒetˈɑ# | *#səd͡ʒetˈɑ# | *#səd͡ʒetˈɑ# {GOLD: #səd͡ʒetˈa#}
185    | #sˈaːnktum# | *#sˈantu# | *#sˈantu# | *#sˈant# {GOLD: #sˈɨnt#}
186    | #sˈappa# | *#sˈapa# | *#sˈapə# | *#sˈapə# {GOLD: #sˈapə#}
187    | #sˌappˈa# | *#sapˈa# | *#səpˈa# | *#səpˈa# {GOLD: #səpˈa#}
188    | #sˌekrˈeːtus# | *#srˈetu# | *#sɾˈetu# | *#srˈet# {GOLD: #səkrˈet#}
189    | #sˈerrɑ# | *#sˈɛrrɑ# | *#ʃe̯ˈarrə# | *#ʃˈarə# {GOLD: #ʃˈarə#}
190    | #skˌintˈiliam# | *#st͡ʃentˈeld͡ʒa# | *#ʃt͡ʃente̯ˈald͡ʒə# | *#ʃt͡ʃinte̯ˈald͡ʒə# {GOLD: #skɨntˈeje#}
191    | #skˌantˈiliam# | *#skantˈeld͡ʒa# | *#skənte̯ˈald͡ʒə# | *#skɨnte̯ˈald͡ʒə# {GOLD: #skɨntˈeje#}
192    | #strˈambum# | *#strˈambu# | *#stɾˈambu# | *#strˈamb# {GOLD: #strˈɨmb#}
193    | #stˈuppɑ# | *#stˈupɑ# | *#stˈupə# | *#stˈupə# {GOLD: #stˈupə#}
194    | #ˌadstˌuppˈaː# | *#astupˈa# | *#astupˈa# | *#astupˈa# {GOLD: #astupˈa#}
195    | #stˈuːlɑ# | *#stˈulɑ# | *#stˈuɾə# | *#stˈurə# {GOLD: #stˈurə#}
